dataset,gpu,ngpu,method,feat_dim,N,M,part_s,step_ms,peak_mb_max,halo_rows,maxdiff,same_result,status,note
stackoverflow,NVIDIA RTX 5000 Ada Generation,1,single,256,2601977,63497050,0.02,194.74,11709.1,0,2.0265579223632812e-06,True,OK,
stackoverflow,NVIDIA RTX 5000 Ada Generation,4,hash,256,2601977,63497050,0.01,446.39,4161.4,4932466,2.384185791015625e-06,True,OK,
stackoverflow,NVIDIA RTX 5000 Ada Generation,4,metis-aware,256,2601977,63497050,44.42,263.03,3635.7,2574855,3.0994415283203125e-06,True,OK,
stackoverflow,NVIDIA RTX 5000 Ada Generation,4,zord-mc-aware,256,2601977,63497050,71.92,330.7,4335.2,3175739,3.5762786865234375e-06,True,OK,
stackoverflow,NVIDIA RTX 5000 Ada Generation,4,zord-stream-aware,256,2601977,63497050,2.17,373.55,5631.8,3017470,2.7418136596679688e-06,True,OK,
stackoverflow,NVIDIA RTX 5000 Ada Generation,4,zord-stream-mem,256,2601977,63497050,2.57,317.45,3980.0,3271322,3.0994415283203125e-06,True,OK,
stackoverflow,NVIDIA RTX 5000 Ada Generation,8,hash,256,2601977,63497050,0.01,860.97,2546.6,8470968,3.0994415283203125e-06,True,OK,
stackoverflow,NVIDIA RTX 5000 Ada Generation,8,metis-aware,256,2601977,63497050,51.01,510.48,2258.8,4480250,3.7550926208496094e-06,True,OK,
stackoverflow,NVIDIA RTX 5000 Ada Generation,8,zord-mc-aware,256,2601977,63497050,68.93,688.96,3112.7,5669300,3.2186508178710938e-06,True,OK,
stackoverflow,NVIDIA RTX 5000 Ada Generation,8,zord-stream-aware,256,2601977,63497050,2.42,603.05,4358.4,4461183,2.1457672119140625e-06,True,OK,
stackoverflow,NVIDIA RTX 5000 Ada Generation,8,zord-stream-mem,256,2601977,63497050,2.79,587.71,2217.8,5333638,2.9802322387695312e-06,True,OK,
