D,auc,dataset,epoch_ms,final_loss,method,rep,status,wall_s
8,0.612371,jodie-wikipedia,47.13,0.719263,metis-aware,0,OK,5.2
8,0.612371,jodie-wikipedia,47.3,0.719263,metis-aware,1,OK,1.0
8,0.612371,jodie-wikipedia,47.16,0.719263,metis-aware,2,OK,1.0
8,0.612371,jodie-wikipedia,47.12,0.719263,metis-aware,3,OK,1.0
8,0.612371,jodie-wikipedia,47.45,0.719263,metis-aware,4,OK,1.0
8,0.612371,jodie-wikipedia,47.87,0.719263,zord-polish,0,OK,1.1
8,0.612371,jodie-wikipedia,48.1,0.719263,zord-polish,1,OK,1.1
8,0.612371,jodie-wikipedia,53.0,0.719263,zord-polish,2,OK,1.2
8,0.612371,jodie-wikipedia,54.98,0.719263,zord-polish,3,OK,1.2
8,0.612371,jodie-wikipedia,54.99,0.719263,zord-polish,4,OK,1.2
8,0.485334,wiki-talk,875.58,0.748291,metis-aware,0,OK,24.2
8,0.485334,wiki-talk,880.66,0.748291,metis-aware,1,OK,24.1
8,0.485334,wiki-talk,872.93,0.748291,metis-aware,2,OK,24.0
8,0.485334,wiki-talk,880.59,0.748291,metis-aware,3,OK,24.1
8,0.485334,wiki-talk,882.07,0.748291,metis-aware,4,OK,24.2
8,0.485334,wiki-talk,933.85,0.748291,zord-polish,0,OK,25.2
8,0.485334,wiki-talk,936.7,0.748291,zord-polish,1,OK,25.2
8,0.485334,wiki-talk,931.77,0.748291,zord-polish,2,OK,25.1
8,0.485334,wiki-talk,930.69,0.748291,zord-polish,3,OK,25.1
8,0.485334,wiki-talk,934.95,0.748291,zord-polish,4,OK,25.1
8,0.496149,stackoverflow,8509.03,0.750494,metis-aware,0,OK,217.3
8,0.496149,stackoverflow,8516.03,0.750494,metis-aware,1,OK,217.6
8,0.496149,stackoverflow,8545.67,0.750494,metis-aware,2,OK,219.6
8,0.496149,stackoverflow,8505.68,0.750494,metis-aware,3,OK,217.5
8,0.496149,stackoverflow,8523.64,0.750494,metis-aware,4,OK,218.0
8,0.496149,stackoverflow,8547.53,0.750494,zord-polish,0,OK,218.7
8,0.496149,stackoverflow,8563.44,0.750494,zord-polish,1,OK,218.9
8,0.496149,stackoverflow,8549.56,0.750494,zord-polish,2,OK,218.7
8,0.496149,stackoverflow,8581.08,0.750494,zord-polish,3,OK,218.7
8,0.496149,stackoverflow,8566.29,0.750494,zord-polish,4,OK,218.9
