D,F,Fm,auc,auc_diff,dataset,epoch_ms,final_loss,loss_dev,method,nbatch,partition_s,peak_mb_max,ref_auc,ref_epoch_ms,same,status
8,64,64,0.526184,9e-08,jodie-wikipedia,1818.62,1.013663,5.986e-07,hash,30,0.02,22.7,0.526184,117.97,True,OK
8,64,64,0.526184,4e-08,jodie-wikipedia,1560.95,1.013663,6.098e-07,metis-aware,30,0.05,23.6,0.526184,117.97,True,OK
8,64,64,0.526184,7e-08,jodie-wikipedia,1638.65,1.013663,6.135e-07,zord-polish,30,0.12,23.1,0.526184,117.97,True,OK
8,64,64,0.676402,1e-08,jodie-mooc,1792.12,0.7215,1.350e-07,hash,30,0.0,25.9,0.676402,168.24,True,OK
8,64,64,0.676402,1e-08,jodie-mooc,1466.85,0.7215,1.500e-07,metis-aware,30,0.12,45.4,0.676402,168.24,True,OK
8,64,64,0.676402,1e-08,jodie-mooc,1809.32,0.7215,1.482e-07,zord-polish,30,0.24,31.5,0.676402,168.24,True,OK
8,64,64,0.496943,1e-08,mathoverflow,1862.45,0.83027,1.553e-07,hash,30,0.0,32.5,0.496943,210.15,True,OK
8,64,64,0.496943,0.0,mathoverflow,1672.68,0.83027,1.279e-07,metis-aware,30,0.21,52.8,0.496943,210.15,True,OK
8,64,64,0.496943,1e-08,mathoverflow,1845.57,0.83027,1.598e-07,zord-polish,30,0.42,47.4,0.496943,210.15,True,OK
8,64,64,0.587148,0.0,askubuntu,2484.26,0.959429,1.667e-07,hash,30,0.0,87.0,0.587148,401.05,True,OK
8,64,64,0.587148,0.0,askubuntu,2035.53,0.959429,1.453e-07,metis-aware,30,0.67,145.8,0.587148,401.05,True,OK
8,64,64,0.587148,1e-08,askubuntu,2144.97,0.959429,1.646e-07,zord-polish,30,1.0,133.7,0.587148,401.05,True,OK
8,64,64,0.573836,2e-08,superuser,3219.46,0.929393,1.500e-07,hash,30,0.0,103.4,0.573836,573.69,True,OK
8,64,64,0.573836,0.0,superuser,2455.82,0.929393,1.559e-07,metis-aware,30,1.03,195.4,0.573836,573.69,True,OK
8,64,64,0.573836,1e-08,superuser,2629.81,0.929393,1.523e-07,zord-polish,30,1.63,166.5,0.573836,573.69,True,OK
8,64,64,0.500924,0.0,wiki-talk,10166.93,0.780899,1.571e-07,hash,30,0.0,514.9,0.500924,3423.39,True,OK
8,64,64,0.500924,0.0,wiki-talk,8504.31,0.780899,1.909e-07,metis-aware,30,5.36,945.2,0.500924,3423.39,True,OK
8,64,64,0.500924,1e-08,wiki-talk,9292.08,0.780899,1.708e-07,zord-polish,30,7.8,710.0,0.500924,3423.39,True,OK
8,64,64,0.527549,1e-08,stackoverflow,68104.72,0.831107,1.608e-07,hash,30,0.01,1750.5,0.527549,31016.96,True,OK
8,64,64,0.527549,0.0,stackoverflow,61240.83,0.831107,1.908e-07,metis-aware,30,51.59,3520.7,0.527549,31016.96,True,OK
8,64,64,0.527549,0.0,stackoverflow,63104.12,0.831107,1.755e-07,zord-polish,30,79.75,2860.8,0.527549,31016.96,True,OK
